id,group,subject,question_no,preferred_pdf,backup_pdf,image_file,status,notes
MOEX-100140-1101-Q079,醫學（一）,寄生蟲學,079,100140_1101.pdf,100140_MOD1101.pdf,,pending,
MOEX-103100-1101-Q033,醫學（一）,組織學,033,103100_1101.pdf,103100_MOD1101.pdf,,pending,
MOEX-103100-1101-Q061,醫學（一）,微生物免疫學,061,103100_1101.pdf,103100_MOD1101.pdf,,pending,
MOEX-105100-5301-Q015,醫學（一）,解剖學,015,105100_5301.pdf,105100_MOD5301.pdf,,pending,
MOEX-105100-5301-Q028,醫學（一）,解剖學,028,105100_5301.pdf,105100_MOD5301.pdf,,pending,
MOEX-105100-5301-Q089,醫學（一）,公共衛生學,089,105100_5301.pdf,105100_MOD5301.pdf,,pending,
MOEX-106020-5301-Q089,醫學（一）,公共衛生學,089,106020_5301.pdf,106020_MOD5301.pdf,,pending,
MOEX-107020-5301-Q049,醫學（一）,生理學,049,107020_5301.pdf,107020_MOD5301.pdf,,pending,
MOEX-108030-1301-Q057,醫學（一）,生理學,057,108030_1301.pdf,108030_MOD1301.pdf,,pending,
MOEX-109020-1301-Q100,醫學（一）,生物化學,100,109020_1301-2.pdf,109020_1301.pdf,,pending,
MOEX-110020-1301-Q076,醫學（一）,生物化學,076,110020_1301.pdf,110020_ANS1301.pdf,,pending,
MOEX-111020-1301-Q029,醫學（一）,解剖學,029,111020_1301.pdf,111020_ANS1301.pdf,,pending,
MOEX-111100-1301-Q013,醫學（一）,解剖學,013,111100_1301.pdf,111100_MOD1301.pdf,,pending,
MOEX-111100-1301-Q029,醫學（一）,解剖學,029,111100_1301.pdf,111100_MOD1301.pdf,,pending,
MOEX-111100-1301-Q051,醫學（一）,生理學,051,111100_1301.pdf,111100_MOD1301.pdf,,pending,
MOEX-111100-1301-Q057,醫學（一）,生理學,057,111100_1301.pdf,111100_MOD1301.pdf,,pending,
MOEX-112100-1301-Q058,醫學（一）,生理學,058,112100_1301.pdf,112100_ANS1301.pdf,,pending,
MOEX-113020-1301-Q046,醫學（一）,組織學,046,113020_1301.pdf,113020_MOD1301.pdf,,pending,
MOEX-113090-1301-Q076,醫學（一）,生物化學,076,113090_1301.pdf,113090_ANS1301.pdf,,pending,
MOEX-114020-1301-Q051,醫學（一）,生理學,051,114020_1301.pdf,114020_MOD1301.pdf,,pending,
MOEX-114020-1301-Q077,醫學（一）,生物化學,077,114020_1301.pdf,114020_MOD1301.pdf,,pending,
MOEX-114090-1301-Q029,醫學（一）,解剖學,029,114090_1301.pdf,114090_MOD1301.pdf,,pending,
MOEX-114090-1301-Q058,醫學（一）,生理學,058,114090_1301.pdf,114090_MOD1301.pdf,,pending,
MOEX-115020-1301-Q057,醫學（一）,生理學,057,115020_1301.pdf,115020_MOD1301.pdf,,pending,
