roc_year,gregorian_year,med1_count,med2_count,total_count,expected_total_count,is_complete
100,2011,178,199,377,400,no
101,2012,189,200,389,400,no
102,2013,189,200,389,400,no
103,2014,188,200,388,400,no
104,2015,192,200,392,400,no
105,2016,191,200,391,400,no
106,2017,199,200,399,400,no
107,2018,198,200,398,400,no
108,2019,199,200,399,400,no
109,2020,200,200,400,400,yes
110,2021,200,200,400,400,yes
111,2022,196,200,396,400,no
112,2023,100,200,300,400,no
113,2024,198,200,398,400,no
114,2025,196,200,396,400,no
115,2026,98,100,198,200,no
